ticketNumber,createdTime,closedTime,status,channel,threadCount,motivo,detalhe,submotivo,localizador,filial,linha,solucao,servico,dataViagem
1305746,2026-04-30T16:11:38.000Z,2026-04-30T16:21:26.000Z,Fechado - Procedente,0800 - UTIL,1,Viagem,Problema Mecânico,Veículo,1JX0QW,Sampaio,,,,
1319373,2026-05-10T04:10:51.000Z,2026-05-21T18:21:48.000Z,Fechado - Procedente,WhatsApp Chat,2,Viagem,Problema Mecânico,Veículo,1K9FTB,Real Expresso,DF/BRASILIA - SP/SAO PAULO 200416,Cortesia,20303090,2026-05-09T14:30:00.000Z
1320204,2026-05-11T08:06:27.000Z,2026-05-19T14:08:35.000Z,Fechado - Procedente,WhatsApp Chat,6,Viagem,Problema Mecânico,Veículo,1K65XF,Util,MT/CUIABA - RJ/RIO DE JANEIRO,,15305100,2026-05-11T02:30:00.000Z
1326030,2026-05-14T17:01:58.000Z,2026-06-09T13:31:52.000Z,Fechado - Procedente,Reclame Aqui,23,Viagem,Problema Mecânico,Veículo,1H2U6Z,Util,MG/BELO HORIZONTE - RJ/CABO FRIO 150415,,15404825,2026-02-06T00:15:00.000Z
1361076,2026-06-05T20:26:15.000Z,2026-06-06T18:41:24.000Z,Fechado - Procedente,Fale Conosco,1,Viagem,Problema Mecânico,Veículo,1JX0QW,Sampaio,RJ/RIO DE JANEIRO - SP/PRAIA GRANDE 350254,Desconto,35421850,
1457694,2026-07-31T00:48:45.000Z,2026-08-05T13:27:49.000Z,Fechado - Sem Interação,Consumidor Gov,6,Viagem,Condições do veículo,Veículo,1N7Y3A,Util,MG/BELO HORIZONTE - RJ/RIO DE JANEIRO 150435,Devolução,15404595,2026-07-26T16:30:00.000Z
1463506,2026-08-03T18:51:13.000Z,2026-08-06T18:29:55.000Z,Fechado - Sem Interação,Consumidor Gov,5,Viagem,Condições do veículo,Veículo,1N7Y3A,Util,MG/BELO HORIZONTE - RJ/RIO DE JANEIRO 150437,Devolução,15404595,2026-07-26T16:30:00.000Z
1477685,2026-08-12T12:57:48.000Z,,Análise N2,WhatsApp Chat,1,Viagem,Problema Mecânico,Veículo,1G22H4,Util,,Devolução,15408443,
1500279,2026-08-25T14:14:31.000Z,,Análise N2,WhatsApp Chat,1,Viagem,Problema Mecânico,Veículo,1G22H4,Util,,Devolução,15408443,
1500285,2026-08-25T14:16:02.000Z,,Análise N2,WhatsApp Chat,1,Viagem,Problema Mecânico,Veículo,1G22H4,Util,,Devolução,15408443,
1500286,2026-08-25T14:16:11.000Z,,Análise N2,WhatsApp Chat,1,Viagem,Problema Mecânico,Veículo,1G22H4,Util,,Devolução,15408443,
